leverage_decile,n_event_states,median_hydraulic_leverage,observed_liquefaction_rate,severe_manifestation_rate,m0_false_negative_rate_0p5
1,1589,0.9801177605986585,0.38137193203272496,0.10446821900566394,0.25298930144745124
2,1589,0.9942181567176689,0.4185022026431718,0.11957205789804909,0.21397105097545627
3,1589,1.0,0.5191944619257395,0.15984896161107615,0.14159848961611077
4,1589,1.0,0.4858401510383889,0.1252359974826935,0.12397734424166142
5,1589,1.0,0.5613593455003146,0.10824417872876023,0.07992448080553807
6,1589,1.0,0.5091252359974827,0.10635619886721208,0.06041535556954059
7,1589,1.0003535938650536,0.5154185022026432,0.13845185651353054,0.08873505349276274
8,1589,1.0255080703392723,0.3473882945248584,0.10195091252359975,0.05223410950283197
9,1589,1.0696833595563697,0.048458149779735685,0.0062932662051604785,0.022026431718061675
10,1589,1.138541670872,0.10824417872876023,0.003775959723096287,0.09188168659534299
