model_name,false_negative_cost_ratio,case_weighted_external_loss,external_fn,external_fp,external_n_cases,locked_threshold,external_domains_covered,full_external_domain_coverage
M0_static_stationary,1.0,0.43175242168826267,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,1.0,0.4747640025173065,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,1.0,0.4845185651353052,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,1.0,0.46073001887979864,52,7269,15890,0.325,1,False
conservative_max_M0_M3,1.0,0.4447729274122531,133,6938,15898,0.725,2,True
M0_static_stationary,2.0,0.43797962007799723,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,2.0,0.4753303964757709,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,2.0,0.4858401510383889,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,2.0,0.46400251730648207,52,7269,15890,0.325,1,False
conservative_max_M0_M3,2.0,0.4531387595924016,133,6938,15898,0.725,2,True
M0_static_stationary,3.0,0.4442068184677318,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,3.0,0.4758967904342354,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,3.0,0.48716173694147263,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,3.0,0.4672750157331655,52,7269,15890,0.325,1,False
conservative_max_M0_M3,3.0,0.46150459177255,133,6938,15898,0.725,2,True
M0_static_stationary,5.0,0.4566612152472009,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,5.0,0.4770295783511643,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,5.0,0.48980490874764004,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,5.0,0.4738200125865324,52,7269,15890,0.325,1,False
conservative_max_M0_M3,5.0,0.4782362561328469,133,6938,15898,0.725,2,True
M0_static_stationary,7.5,0.4722292112215373,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,7.5,0.47844556324732535,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,7.5,0.49310887350534927,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,7.5,0.482001258653241,52,7269,15890,0.325,1,False
conservative_max_M0_M3,7.5,0.499150836583218,133,6938,15898,0.725,2,True
M0_static_stationary,10.0,0.4877972071958737,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,10.0,0.47986154814348647,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,10.0,0.49641283826305854,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,10.0,0.4901825047199497,52,7269,15890,0.325,1,False
conservative_max_M0_M3,10.0,0.5200654170335891,133,6938,15898,0.725,2,True
M0_static_stationary,15.0,0.5189331991445465,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,15.0,0.48269351793580867,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,15.0,0.503020767778477,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,15.0,0.5065449968533668,52,7269,15890,0.325,1,False
conservative_max_M0_M3,15.0,0.5618945779343314,133,6938,15898,0.725,2,True
M0_static_stationary,20.0,0.5500691910932193,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,20.0,0.4855254877281309,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,20.0,0.5096286972938955,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,20.0,0.5229074889867842,52,7269,15890,0.325,1,False
conservative_max_M0_M3,20.0,0.6037237388350736,133,6938,15898,0.725,2,True
M0_static_stationary,30.0,0.6123411749905648,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,30.0,0.4911894273127753,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,30.0,0.5228445563247326,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,30.0,0.5556324732536186,52,7269,15890,0.325,1,False
conservative_max_M0_M3,30.0,0.687382060636558,133,6938,15898,0.725,2,True
M0_static_stationary,50.0,0.736885142785256,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,50.0,0.5025173064820642,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,50.0,0.5492762743864066,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,50.0,0.6210824417872876,52,7269,15890,0.325,1,False
conservative_max_M0_M3,50.0,0.854698704239527,133,6938,15898,0.725,2,True
M0_static_stationary,75.0,0.89256510252862,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,75.0,0.5166771554436753,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,75.0,0.582315921963499,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,75.0,0.7028949024543738,52,7269,15890,0.325,1,False
conservative_max_M0_M3,75.0,1.0638445087432382,133,6938,15898,0.725,2,True
M0_static_stationary,100.0,1.0482450622719839,99,6765,15898,0.325,2,True
M1_nonstationary_groundwater_only,100.0,0.5308370044052864,9,7535,15890,0.075,1,False
M2_nonstationary_groundwater_gradation,100.0,0.6153555695405916,21,7678,15890,0.125,1,False
M3_full_nonstationary_random_field,100.0,0.78470736312146,52,7269,15890,0.325,1,False
conservative_max_M0_M3,100.0,1.2729903132469493,133,6938,15898,0.725,2,True
