n_test,positive_rate,auc,brier_score,log_loss,mean_predicted_probability,calibration_intercept,calibration_slope,protocol,model_name,n_groups
8,0.5,1.0,0.06030375596443973,0.24884374498579026,0.3949172441310529,0.04312465412873692,1.4615248033048178,fixed_family_holdout_SODO_UW,M0_static_stationary,2
8,0.5,1.0,0.060471254325830476,0.2574475227157669,0.40870146517726813,0.02956124103517547,1.4593987217648705,fixed_family_holdout_SODO_UW,M1_groundwater,2
8,0.5,1.0,0.08165320846872415,0.27094935806226195,0.35135306853807,-0.005909243962729054,1.3880570912165708,fixed_family_holdout_SODO_UW,M2_groundwater_gradation,2
8,0.5,1.0,0.08942941806640924,0.2986924574410856,0.3511765651061717,-0.03351251501627018,1.3641653432873906,fixed_family_holdout_SODO_UW,M3_random_field,2
24,0.375,0.9925925925925926,0.04592768372298753,0.18690665317797742,0.36688452330823146,-0.8851267590490204,2.0878502768514076,leave_one_family_out,M2_groundwater_gradation,15
24,0.375,0.9925925925925926,0.054448872528944904,0.20764745633678303,0.3765701076140986,-0.8974109794774641,2.030828911509976,leave_one_family_out,M3_random_field,15
24,0.375,0.9555555555555556,0.08440797105089737,0.2913491904025861,0.36369749614385466,-0.8569437360902001,1.852625998763668,leave_one_family_out,M0_static_stationary,15
24,0.375,0.9333333333333333,0.09767482970161893,0.32098575237015564,0.37457746647527745,-0.8370716617373666,1.7441363156416076,leave_one_family_out,M1_groundwater,15
24,0.375,0.9851851851851852,0.08098087551709952,0.2787757130714675,0.32594679345828753,-0.8359899873689162,1.9691750006251039,leave_one_region_out,M3_random_field,4
24,0.375,0.9851851851851852,0.0829299940428896,0.2820180367222252,0.31332447123909163,-0.8409618837021928,1.9782793071716385,leave_one_region_out,M2_groundwater_gradation,4
24,0.375,0.9555555555555556,0.1259679903972069,0.3899420300397807,0.31349191476687494,-0.6850862024129949,1.7140696159622175,leave_one_region_out,M0_static_stationary,4
24,0.375,0.8962962962962963,0.14936324719214922,0.4486056222016072,0.30331018347034494,-0.6631903518842758,1.4265744924938213,leave_one_region_out,M1_groundwater,4
24,0.375,0.9925925925925926,0.04592768372298753,0.1869066531779774,0.36688452330823146,-0.8851267590490205,2.0878502768514076,nested_family_cv_select_by_inner_brier,selected_per_outer_fold,15
2,0.5,1.0,0.020893035778210736,0.13686231417363692,0.4272073636638158,,,temporal_pre_train_post_test,M3_random_field,1
2,0.5,1.0,0.021979020633948482,0.14020903687358205,0.42442531213921836,,,temporal_pre_train_post_test,M2_groundwater_gradation,1
2,0.5,1.0,0.04439910560112045,0.20366768578114947,0.38429665685363834,,,temporal_pre_train_post_test,M1_groundwater,1
2,0.5,1.0,0.048321051708345615,0.21360957744074976,0.3786128123977272,,,temporal_pre_train_post_test,M0_static_stationary,1
